id,title,major_streaming_providers,is_on_major_streaming
303483,Once in a Lifetime,['Amazon Prime Video'],True
286654,Reclaim,[],False
285840,The Editor,[],False
227348,Paranormal Activity: The Marked Ones,[],False
100241,"I, Frankenstein",[],False
236399,Flowers in the Attic,[],False
251768,JLA Adventures: Trapped in Time,[],False
296065,Last Shift,[],False
257475,Tamako Love Story,[],False
184346,Deliver Us from Evil,['Hulu'],True
268690,Legend Quest: The Legend of the Guanajuato Mummies,[],False
157825,White Bird in a Blizzard,[],False
244517,God's Pocket,[],False
224141,Into the Woods,[],False
290729,Sniper: Legacy,['Amazon Prime Video'],True
287426,Shelter,[],False
278236,X+Y,[],False
261470,Sorry If I Call You Love,[],False
235260,Son of God,[],False
280690,Kick,[],False
256917,The Water Diviner,[],False
282631,The Admiral: Roaring Currents,[],False
298093,Poker Night,[],False
242095,The Signal,[],False
293299,Feast,[],False
216282,Into the Storm,[],False
157099,Better Living Through Chemistry,[],False
283726,The New Girlfriend,[],False
242042,Barefoot,['Amazon Prime Video'],True
242310,Rage,[],False
286817,Anatomy of a Love Seen,[],False
157832,Calvary,[],False
299582,A Royal Christmas,[],False
244566,Life After Beth,[],False
157829,The Disappearance of Eleanor Rigby: Them,['Amazon Prime Video'],True
203834,Jessabelle,[],False
283704,Leopardi,[],False
244267,I Origins,[],False
249164,If I Stay,[],False
268060,Road to Paloma,[],False
188207,The Legend of Hercules,['Netflix'],True
242643,Batman: Assault on Arkham,[],False
114155,Effie Gray,[],False
300467,Dark Was the Night,['Amazon Prime Video'],True
277355,Everly,[],False
286519,Boychoir,[],False
217993,Justice League: War,[],False
240483,Robot Overlords,[],False
243684,"Men, Women & Children",[],False
152790,The Angriest Man in Brooklyn,[],False
306650,Kajaki,[],False
260535,The Little Rascals Save the Day,[],False
297222,PK,['Netflix'],True
289891,Jackie & Ryan,['Amazon Prime Video'],True
257648,The White Haired Witch of Lunar Kingdom,[],False
271185,Ask Me Anything,[],False
272435,Gemma Bovery,['Amazon Prime Video'],True
260063,Seal Team Eight: Behind Enemy Lines,[],False
298504,Vampire Sisters 2: Bats in the Belly,[],False
241863,As the Gods Will,[],False
259910,Marvel Studios: Assembling a Universe,[],False
254474,Zombeavers,['Amazon Prime Video'],True
305091,That Sugar Film,['Amazon Prime Video'],True
265177,Mommy,[],False
157823,Night Moves,['Amazon Prime Video'],True
114750,Dear White People,[],False
312791,GirlHouse,[],False
227783,The Nut Job,[],False
267793,Petals on the Wind,[],False
272692,The Possession of Michael King,[],False
228194,The Hundred-Foot Journey,[],False
252680,Moms' Night Out,[],False
188166,Blue Ruin,['Amazon Prime Video'],True
271467,School Dance,[],False
298729,Do You See Me?,[],False
260234,"Monster High: Frights, Camera, Action!",[],False
262338,Good People,['Amazon Prime Video'],True
289712,Mockingbird,[],False
110390,A Pigeon Sat on a Branch Reflecting on Existence,[],False
184098,Think Like a Man Too,[],False
308571,Bill Burr: I'm Sorry You Feel That Way,['Netflix'],True
293982,Warsaw 44,[],False
269494,A Hard Day,[],False
291692,Brotherhood of Blades,[],False
241842,Dead Snow 2: Red vs. Dead,['Amazon Prime Video'],True
303623,Hello Ladies: The Movie,[],False
305932,Expelled,[],False
317182,Doctor Who: Last Christmas,[],False
226486,Tammy,[],False
252171,A Girl Walks Home Alone at Night,[],False
279254,Ghost in the Shell: Arise - Border 4: Ghost Stands Alone,[],False
187596,Walk of Shame,['Amazon Prime Video'],True
241843,Cooties,[],False
222899,About Last Night,[],False
242090,The One I Love,['Amazon Prime Video'],True
169607,Finding Vivian Maier,[],False
290727,Monster High: Freaky Fusion,[],False
266285,The Salvation,[],False
277597,Mercenaries,[],False
156597,Stage Fright,[],False
270771,The Last Survivors,[],False
244688,The Hungover Games,['Amazon Prime Video'],True
85350,Boyhood,[],False
253980,Marvel One-Shot: All Hail the King,[],False
192145,Third Person,['Amazon Prime Video'],True
228970,Wild,['Hulu'],True
282983,Magical Girl,[],False
292177,My Little Pony: Equestria Girls - Rainbow Rocks,[],False
289984,Winterkartoffelknödel,[],False
82657,Flight 7500,['Amazon Prime Video'],True
204922,Before I Go to Sleep,['Amazon Prime Video'],True
233470,Jamesy Boy,[],False
239562,The Single Moms Club,[],False
287524,Fear Clinic,[],False
285733,Barbie and the Secret Door,[],False
300424,LEGO DC Comics Super Heroes: Batman Be-Leaguered,[],False
254201,The Absent One,[],False
137321,Winter's Tale,[],False
296626,Finders Keepers,['Amazon Prime Video'],True
252178,'71,[],False
244562,Jamie Marks Is Dead,['Amazon Prime Video'],True
276843,What We Did on Our Holiday,['Amazon Prime Video'],True
257932,Dragon Nest: Warriors' Dawn,[],False
245473,Cloud 9,[],False
87492,Foxcatcher,[],False
269776,Alleluia,[],False
316854,Les Souvenirs,[],False
264525,The Perfect Dictatorship,['Netflix'],True
270302,The Riot Club,[],False
244563,"Kumiko, the Treasure Hunter",[],False
283739,The Grad Job,[],False
87093,Big Eyes,['Amazon Prime Video'],True
264401,Gloria,[],False
254191,Honeymoon,[],False
277368,Nicholas on Holiday,[],False
244536,Hellion,[],False
218778,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",[],False
273641,Jackass Presents: Bad Grandpa .5,[],False
289171,The Secret of Arkandias,[],False
261103,Maya the Bee Movie,['Amazon Prime Video'],True
258193,Alien Abduction,[],False
245700,Mr. Turner,['Amazon Prime Video'],True
298459,Next Time I'll Aim for the Heart,['Amazon Prime Video'],True
237791,The Way He Looks,[],False
241771,Beyond the Lights,[],False
244063,Boys,['Amazon Prime Video'],True
229297,Magic in the Moonlight,[],False
251519,Son of Batman,[],False
265297,The Salt of the Earth,[],False
298538,Disaster L.A.: The Last Zombie Apocalypse Begins Here,[],False
225565,That Awkward Moment,[],False
171372,Frank,[],False
262551,Babysitting,[],False
256474,In the Blood,['Amazon Prime Video'],True
259074,Joy Ride 3,[],False
248504,Sharknado 2: The Second One,['Amazon Prime Video'],True
221902,"Two Days, One Night",[],False
169298,Bullet,[],False
327833,Skin Trade,[],False
269173,The Anomaly,[],False
231576,Wish I Was Here,[],False
239568,Search Party,[],False
265169,Winter Sleep,[],False
59981,Legends of Oz: Dorothy's Return,['Amazon Prime Video'],True
290542,You're Not You,['Amazon Prime Video'],True
245916,Kill the Messenger,[],False
228108,The Road Within,['Amazon Prime Video'],True
269650,Appleseed Alpha,[],False
263105,Boy Meets Girl,['Amazon Prime Video'],True
270756,Return to Zero,[],False
227735,Dolphin Tale 2,[],False
267463,The 10 Year Plan,['Amazon Prime Video'],True
255798,Burying the Ex,[],False
232679,When the Game Stands Tall,[],False
487186,Halo: Nightfall,[],False
203739,Vampire Academy,[],False
198185,Million Dollar Arm,[],False
321068,Mythica: A Quest for Heroes,['Amazon Prime Video'],True
206563,Trash,[],False
290999,Wyrmwood: Road of the Dead,[],False
302828,Against the Sun,[],False
180296,They Came Together,[],False
260001,Life Partners,"['Amazon Prime Video', 'Hulu']",True
200505,Draft Day,[],False
305455,Santa Claus,[],False
236735,Marshland,[],False
301272,Let's Go to the Country,[],False
258284,Every Secret Thing,[],False
277934,Only You,[],False
209451,Jersey Boys,[],False
267863,Walking on Sunshine,['Amazon Prime Video'],True
264656,The Homesman,['Amazon Prime Video'],True
258755,Hidden Away,[],False
244539,Infinitely Polar Bear,[],False
295315,Sex Ed,[],False
281780,Kundo: Age of the Rampant,['Amazon Prime Video'],True
258805,Bad Johnson,[],False
310126,"The Rich, the Pauper and the Butler",[],False
266082,Girlhood,[],False
270919,Number One Fan,[],False
267999,White God,['Amazon Prime Video'],True
245775,Yves Saint Laurent,['Amazon Prime Video'],True
250388,Rampage: Capital Punishment,['Amazon Prime Video'],True
226448,In Your Eyes,[],False
105001,Iceman,['Amazon Prime Video'],True
254024,The Face of an Angel,[],False
314065,Altar,[],False
280795,Haider,['Netflix'],True
208763,Forbidden Empire,['Amazon Prime Video'],True
273895,Selma,['Netflix'],True
271724,Hippocrates,[],False
210479,Locke,[],False
245859,God Help the Girl,[],False
284470,Atari: Game Over,['Amazon Prime Video'],True
261776,The Third One,[],False
250535,Get Santa,[],False
256346,Almost Home,[],False
255157,The Forger,[],False
285700,The Fool,[],False
253376,In Darkness We Fall,[],False
227738,Mortadelo and Filemon: Mission Implausible,[],False
254375,Hector and the Search for Happiness,['Amazon Prime Video'],True
298040,Gods,[],False
299847,Happily Mixed Up,[],False
247645,Queen,['Netflix'],True
246594,Mega Shark vs. Mecha Shark,[],False
276902,Cut Bank,[],False
271397,The Tribe,[],False
245844,Blind,[],False
246860,Clouds of Sils Maria,[],False
283589,Bang Bang!,[],False
244403,Rudderless,[],False
295087,"Bangkok, We Have A Problem!",[],False
253287,We'll Never Have Paris,[],False
293572,The Houses October Built,[],False
260202,Turks & Caicos,[],False
266034,The Blue Room,[],False
240916,Reasonable Doubt,['Amazon Prime Video'],True
261037,Miss Meadows,['Amazon Prime Video'],True
265016,Extraterrestrial,[],False
276401,The Disappearance of Eleanor Rigby: Him,[],False
197950,The Connection,[],False
267467,The Target,[],False
177494,Veronica Mars,[],False
290382,Roger Waters: The Wall,[],False
276844,The Little Death,[],False
253310,Premature,[],False
209185,The Grand Seduction,[],False
260339,Salting the Battlefield,[],False
256347,Not Safe for Work,[],False
265189,Force Majeure,[],False
256092,Drive Hard,[],False
215211,Grace of Monaco,['Amazon Prime Video'],True
242076,The Bag Man,[],False
236737,Spanish Affair,[],False
291865,From the Dark,['Amazon Prime Video'],True
278646,Divorce French Style,[],False
276908,Comet,[],False
261375,Flying Home,[],False
298614,Do Not Disturb,[],False
297745,...It's Snowing Outside!,[],False
290599,The Man Cave,[],False
313108,Ode to My Father,[],False
220471,The Devil's Hand,[],False
301566,Too Many Cooks,[],False
254188,At the Devil's Door,[],False
255268,Bad Ass 2: Bad Asses,['Amazon Prime Video'],True
265019,Preservation,[],False
171846,Killers,[],False
269258,Head Full of Honey,[],False
114982,Goodbye to Language,[],False
258034,4 Moons,[],False
251981,The World of Kanako,[],False
242022,The Inbetweeners 2,[],False
250225,The Duke of Burgundy,[],False
244264,Laggies,['Amazon Prime Video'],True
270400,Breathe,[],False
298722,Soap Opera,[],False
310127,Ma tu di che segno 6?,[],False
252822,In Order of Disappearance,[],False
294093,Dinosaur Island,['Amazon Prime Video'],True
238603,Earth to Echo,['Amazon Prime Video'],True
204436,Jack and the Cuckoo-Clock Heart,['Amazon Prime Video'],True
277806,Say 'I Love You',[],False
295832,Unique Brothers,[],False
215379,Young Ones,[],False
265180,Leviathan,[],False
273169,French Women,[],False
275060,The Disappearance of Eleanor Rigby: Her,[],False
300839,Nobody from Nowhere,[],False
240341,Ghost in the Shell: Arise - Border 3: Ghost Tears,[],False
300823,Close Range Love,[],False
241855,Spring,[],False
248933,The Dark Valley,['Amazon Prime Video'],True
214314,Bears,[],False
250657,Fed Up,[],False
258152,Party Central,[],False
174337,The Pretty One,[],False
258322,Fasten Your Seatbelts,['Amazon Prime Video'],True
253235,And So It Goes,['Amazon Prime Video'],True
240745,Cymbeline,[],False
221667,Saint Laurent,[],False
239566,Get on Up,[],False
254194,Starry Eyes,[],False
157351,The Truth About Emanuel,[],False
392216,Phineas and Ferb: Star Wars,[],False
251994,Reach Me,['Amazon Prime Video'],True
262958,Jimmy's Hall,[],False
256913,Quantum Love,[],False
268523,Nice and Easy,[],False
266058,A Girl at My Door,[],False
207774,The Borderlands,[],False
226140,See No Evil 2,[],False
262903,Main Tera Hero,[],False
251232,Copenhagen,[],False
251577,The Treatment,[],False
279545,Les Francis,[],False
267557,Un fidanzato per mia moglie,[],False
286301,The Dinner,[],False
276496,The Dark Horse,[],False
192712,Kite,[],False
243526,Faults,[],False
256311,Stereo,[],False
180305,Mercy,[],False
124470,Exists,['Amazon Prime Video'],True
254578,Phoenix,[],False
261101,Cantinflas,[],False
250538,The Good Lie,[],False
295799,Iris,['Amazon Prime Video'],True
250066,American Heist,[],False
277230,The List of My Desires,[],False
265228,Timbuktu,[],False
230266,Miss Julie,['Amazon Prime Video'],True
192132,Palo Alto,['Amazon Prime Video'],True
277231,Take-Away Romance,[],False
277688,Suburban Gothic,[],False
265010,The Canal,[],False
258750,Gun Woman,[],False
244268,Love Is Strange,['Amazon Prime Video'],True
294308,Don't Blink,['Amazon Prime Video'],True
259943,Coming Home,[],False
223954,Jacky in the Kingdom of Women,[],False
263855,Fort Bliss,['Amazon Prime Video'],True
223706,Boy & the World,[],False
247182,The Kid,[],False
264397,The Incident,[],False
306523,Ogni maledetto Natale,[],False
257117,Blood Punch,[],False
254023,The Humbling,['Amazon Prime Video'],True
243531,Freezer,[],False
133790,Clear History,[],False
184352,Tom at the Farm,[],False
216580,Savaged,['Amazon Prime Video'],True
234200,Pride,[],False
254193,Late Phases,['Amazon Prime Video'],True
262840,WolfCop,[],False
278878,The Gunfighter,[],False
294992,The Taking of Tiger Mountain,['Amazon Prime Video'],True
253254,Before I Disappear,[],False
262481,An Honest Liar,['Amazon Prime Video'],True
261102,The Misfits Club,[],False
209249,The Love Punch,['Amazon Prime Video'],True
222649,Rosewater,[],False
193726,ABCs of Death 2,['Amazon Prime Video'],True
206821,The Longest Week,['Amazon Prime Video'],True
248774,Obvious Child,['Amazon Prime Video'],True
250658,The Internet's Own Boy: The Story of Aaron Swartz,[],False
248376,Once Upon a Time in Shanghai,['Amazon Prime Video'],True
257343,Recep Ivedik 4,[],False
289732,Zombie Fight Club,[],False
212231,Kid Cannabis,[],False
209269,Felony,['Amazon Prime Video'],True
246400,"20,000 Days on Earth",[],False
99367,Date and Switch,[],False
193612,The Quiet Ones,['Amazon Prime Video'],True
251321,Aloft,[],False
248611,Mea Culpa,[],False
295748,Coming Soon,[],False
259963,Boulevard,[],False
255756,"Black Coal, Thin Ice",['Amazon Prime Video'],True
269100,Video Games: The Movie,[],False
255913,Relationship Status: It's Complicated,[],False
258086,The Damned,[],False
190469,Redirected,[],False
243935,Rob the Mob,['Amazon Prime Video'],True
379779,The Present,[],False
197696,Welcome to New York,[],False
253239,Diplomacy,[],False
276488,Let Us Prey,['Amazon Prime Video'],True
229304,Han Gong-ju,[],False
251471,A LEGO Brickumentary,['Amazon Prime Video'],True
287628,Theeb,[],False
268660,Bangalore Days,[],False
254200,A Second Chance,[],False
263281,My Summer in Provence,[],False
279047,SMS,[],False
247218,A Boss in the Living Room,[],False
272691,Sea Fog,['Amazon Prime Video'],True
253272,The Mule,['Amazon Prime Video'],True
256057,Güeros,['Netflix'],True
253312,Space Station 76,[],False
228358,The Pact II,[],False
319143,A Village Almost Perfect!,[],False
787561,ME!ME!ME!,[],False
312428,Un Natale stupefacente,[],False
241875,Never on the First Night,[],False
248507,Superchondriac,[],False
257593,The Move of the Penguin,[],False
250766,Life Itself,[],False
266031,Jauja,[],False
216769,Swindle,[],False
249923,Someone Marry Barry,['Amazon Prime Video'],True
260312,The Yellow Eyes of Crocodiles,[],False
248390,Le Crocodile du Botswanga,[],False
254721,Stations of the Cross,['Amazon Prime Video'],True
274626,Animal,['Amazon Prime Video'],True
276922,Come Back to Me,[],False
242088,The Trip to Italy,[],False
270403,Gett: The Trial of Viviane Amsalem,['Amazon Prime Video'],True
253331,Black or White,[],False
252067,Hot Young Bloods,[],False
256273,The Fluffy Movie,[],False
259956,About Alex,[],False
273467,Goal of the Dead,[],False
280511,Fastlife,[],False
270668,When Animals Dream,[],False
227970,Men Are from Mars... And That's Where I'm Going!,[],False
276935,Ek Villain,[],False
243568,Lizzie Borden Took an Ax,[],False
225044,"Like Sunday, Like Rain",['Amazon Prime Video'],True
248212,Lilting,[],False
276928,Humpty Sharma Ki Dulhania,"['Netflix', 'Amazon Prime Video']",True
255456,Sotto una buona stella,[],False
192149,The Two Faces of January,[],False
206192,Perfect Sisters,['Amazon Prime Video'],True
240566,Tokyo Tribe,[],False
251852,The Scribbler,[],False
227300,Stretch,[],False
253306,Housebound,[],False
240510,Stromberg – The Movie,[],False
251736,Listen Up Philip,[],False
256876,Red Army,[],False
223946,Les Gazelles,[],False
209276,Starred Up,[],False
253687,Smart Ass,[],False
263614,Virunga,['Netflix'],True
262789,Ti ricordi di me?,[],False
246320,The Three Brothers: The Return,[],False
265226,The Wonders,[],False
259720,2 States,[],False
245527,Convict,['Amazon Prime Video'],True
273886,Holiday,[],False
253154,Imperial Dreams,['Amazon Prime Video'],True
220447,Black Butler,[],False
214075,Words and Pictures,['Amazon Prime Video'],True
250235,Tutta colpa di Freud,[],False
201086,Cuban Fury,[],False
294463,Lou!,[],False
254869,Torrente 5,['Amazon Prime Video'],True
250219,I Can Quit Whenever I Want,[],False
94590,Angry Video Game Nerd: The Movie,[],False
257314,A Woman as a Friend,[],False
206296,The Last Five Years,[],False
199575,These Final Hours,[],False
250349,Barbecue,[],False
291157,Khoobsurat,['Netflix'],True
253065,Miss Granny,['Netflix'],True
252841,Highway,[],False
265018,Indigenous,[],False
204968,Jack Strong,['Amazon Prime Video'],True
254186,Among the Living,[],False
252444,Get Married If You Can,[],False
251626,Hasee Toh Phasee,"['Netflix', 'Amazon Prime Video']",True
253046,Jailbait,[],False
330115,Ride,[],False
264001,A Fairy Tale Wedding,[],False
260088,Amici come noi,[],False
208869,Plastic,[],False
256561,Free to Play,['Netflix'],True
302798,La scuola più bella del mondo,[],False
209271,Hateship Loveship,[],False
254439,The Honest Candidate,[],False
242661,Not My Day,[],False
268229,Hungerford,[],False
210947,Afflicted,[],False
200511,7 Minutes,['Amazon Prime Video'],True
249457,People Who Are Well,[],False
266537,Not My Type,[],False
210910,Almost Human,[],False
253849,John Doe: Vigilante,[],False
227961,S.O.S.: Women to the Sea,[],False
253370,Joy of Fatherhood,[],False
252607,Junior,[],False
250551,Gunday,['Amazon Prime Video'],True
296727,Tutto molto bello,[],False
249142,Taste of You,[],False
204765,Anything for Alice,[],False
174323,G.B.F.,[],False
150540,Inside Out,[],False
